or_id,status
or_31002050,returned
or_31002051,delivered
or_31002052,delivered
or_31002053,delivered
or_31002054,delivered
or_31002055,delivered
or_31002056,delivered
or_31002057,returned
or_31002058,delivered
or_31002059,delivered
or_31002060,returned
or_31002061,delivered
or_31002062,delivered
or_31002063,delivered
or_31002064,delivered
or_31002065,delivered
or_31002066,delivered
or_31002067,returned
or_31002067,returned
or_31002068,delivered
or_31002069,delivered
or_31002070,delivered
or_31002071,delivered
or_31002072,delivered
or_31002073,delivered
or_31002074,delivered
or_31002075,delivered
or_31002076,delivered
or_31002077,delivered
or_31002078,delivered
or_31002079,delivered
or_31002080,delivered
or_31002081,delivered
or_31002082,delivered
or_31002083,returned
or_31002084,delivered
or_31002085,returned
or_31002086,delivered
or_31002087,delivered
or_31002088,delivered
or_31002089,delivered
or_31002090,delivered
or_31002091,delivered
or_31002092,delivered
or_31002093,delivered
or_31002094,delivered
or_31002095,returned
or_31002096,delivered
or_31002097,returned
or_31002098,delivered
or_31002099,delivered
or_31002100,delivered
or_31002101,delivered
or_31002102,delivered
or_31002103,delivered
or_31002104,delivered
or_31002105,delivered
or_31002106,delivered
or_31002107,returned
or_31002108,delivered
or_31002109,delivered
or_31002110,delivered
or_31002111,delivered
or_31002112,delivered
or_31002113,delivered
or_31002114,delivered
or_31002115,delivered
or_31002116,delivered
or_31002117,returned
or_31002118,returned
or_31002119,returned
or_31002120,returned
or_31002121,delivered
or_31002122,delivered
or_31002123,returned
or_31002124,delivered
or_31002125,returned
or_31002126,delivered
or_31002127,returned
or_31002128,delivered
or_31002129,returned
or_31002130,delivered
or_31002131,returned
or_31002132,delivered
or_31002133,delivered
or_31002134,delivered
or_31002135,delivered
or_31002136,delivered
or_31002137,delivered
or_31002138,delivered
or_31002139,returned
or_31002140,delivered
or_31002141,returned
or_31002142,delivered
or_31002143,delivered
or_31002144,delivered
or_31002145,delivered
or_31002146,delivered
or_31002147,delivered
or_31002148,delivered
or_31002149,delivered
or_31002150,returned
or_31002151,delivered
or_31002152,returned
or_31002153,delivered
or_31002154,delivered
or_31002155,delivered
or_31002156,delivered
or_31002157,delivered
or_31002158,delivered
or_31002159,delivered
or_31002160,delivered
or_31002161,returned
or_31002162,delivered
or_31002163,delivered
or_31002164,returned
or_31002164,returned
or_31002165,delivered
or_31002166,delivered
or_31002167,delivered
or_31002168,delivered
or_31002169,delivered
or_31002170,delivered
or_31002171,delivered
or_31002172,delivered
or_31002173,delivered
or_31002174,delivered
or_31002175,delivered
or_31002176,delivered
or_31002177,delivered
or_31002178,returned
or_31002179,returned
or_31002180,delivered
or_31002181,delivered
or_31002182,delivered
or_31002183,delivered
or_31002184,delivered
or_31002185,delivered
or_31002186,returned
or_31002187,delivered
or_31002188,delivered
or_31002189,delivered
or_31002190,returned
or_31002191,delivered
or_31002192,delivered
or_31002193,delivered
or_31002194,delivered
or_31002195,delivered
or_31002196,returned
or_31002197,delivered
or_31002198,returned
or_31002199,delivered
or_31002200,delivered
or_31002201,delivered
or_31002202,delivered
or_31002203,delivered
or_31002204,delivered
or_31002205,delivered
or_31002206,delivered
or_31002207,returned
or_31002208,delivered
or_31002209,delivered
or_31002210,delivered
or_31002211,delivered
or_31002212,delivered
or_31002213,delivered
or_31002214,delivered
or_31002215,delivered
or_31002216,delivered
or_31002217,delivered
or_31002218,delivered
or_31002219,delivered
or_31002220,delivered
or_31002221,delivered
or_31002222,delivered
or_31002223,delivered
or_31002224,delivered
or_31002225,delivered
or_31002226,returned
or_31002227,delivered
or_31002228,returned
or_31002229,delivered
or_31002230,delivered
or_31002231,delivered
or_31002232,delivered
or_31002233,delivered
or_31002234,delivered
or_31002235,delivered
or_31002236,delivered
or_31002237,delivered
or_31002238,returned
or_31002239,delivered
or_31002240,delivered
or_31002241,delivered
or_31002242,returned
or_31002243,returned
or_31002244,delivered
or_31002245,delivered
or_31002246,delivered
or_31002247,delivered
or_31002248,delivered
or_31002249,delivered
or_31002250,delivered
or_31002251,delivered
or_31002252,delivered
or_31002253,returned
or_31002254,delivered
or_31002255,delivered
or_31002256,delivered
or_31002257,delivered
or_31002258,delivered
or_31002259,delivered
or_31002260,delivered
or_31002261,delivered
or_31002262,returned
or_31002263,returned
or_31002264,delivered
or_31002265,delivered
or_31002266,returned
or_31002267,delivered
or_31002268,delivered
or_31002269,delivered
or_31002270,delivered
or_31002271,delivered
or_31002272,delivered
or_31002273,returned
or_31002274,delivered
or_31002275,delivered
or_31002276,delivered
or_31002277,delivered
or_31002278,delivered
or_31002279,delivered
or_31002280,delivered
or_31002281,delivered
or_31002282,delivered
or_31002283,delivered
or_31002284,delivered
or_31002285,delivered
or_31002286,returned
or_31002287,delivered
or_31002288,delivered
or_31002289,delivered
or_31002290,delivered
or_31002291,delivered
or_31002292,delivered
or_31002293,delivered
or_31002294,delivered
or_31002295,delivered
or_31002296,returned
or_31002297,delivered
or_31002298,delivered
or_31002299,delivered
or_31002300,returned
or_31002301,delivered
or_31002302,delivered
or_31002303,returned
or_31002304,delivered
or_31002305,delivered
or_31002306,delivered
or_31002307,delivered
or_31002308,delivered
or_31002309,delivered
or_31002310,delivered
or_31002311,delivered
or_31002312,delivered
or_31002313,delivered
or_31002314,delivered
or_31002315,returned
or_31002316,returned
or_31002317,delivered
or_31002318,delivered
or_31002319,delivered
or_31002320,returned
or_31002321,delivered
or_31002322,returned
or_31002323,returned
or_31002324,delivered
or_31002325,delivered
or_31002326,delivered
or_31002327,delivered
or_31002328,delivered
or_31002329,delivered
or_31002330,delivered
or_31002331,delivered
or_31002332,delivered
or_31002333,delivered
or_31002334,delivered
or_31002335,delivered
or_31002336,delivered
or_31002337,delivered
or_31002338,delivered
or_31002339,delivered
or_31002340,delivered
or_31002341,delivered
or_31002342,returned
or_31002343,delivered
or_31002344,delivered
or_31002345,returned
or_31002346,delivered
or_31002347,returned
or_31002348,delivered
or_31002349,delivered
or_31002350,delivered
or_31002351,delivered
or_31002352,returned
or_31002353,delivered
or_31002354,returned
or_31002355,returned
or_31002356,delivered
or_31002357,returned
or_31002358,returned
or_31002359,delivered
or_31002360,delivered
or_31002361,delivered
or_31002362,delivered
or_31002363,delivered
or_31002364,delivered
or_31002365,delivered
or_31002366,delivered
or_31002367,delivered
or_31002368,delivered
or_31002369,delivered
or_31002370,delivered
or_31002371,delivered
or_31002372,delivered
or_31002373,delivered
or_31002374,delivered
or_31002375,returned
or_31002376,delivered
or_31002377,delivered
or_31002378,delivered
or_31002379,delivered
or_31002380,returned
or_31002381,delivered
or_31002382,delivered
or_31002383,returned
or_31002384,delivered
or_31002385,delivered
or_31002386,delivered
or_31002387,delivered
or_31002388,delivered
or_31002389,delivered
or_31002390,delivered
or_31002391,delivered
or_31002392,delivered
or_31002393,delivered
or_31002394,delivered
or_31002395,delivered
or_31002396,delivered
or_31002397,delivered
or_31002398,delivered
or_31002399,delivered
or_31002400,delivered
or_31002401,delivered
or_31002402,returned
or_31002403,delivered
or_31002404,delivered
or_31002405,delivered
or_31002406,delivered
or_31002407,delivered
or_31002408,returned
or_31002409,delivered
or_31002410,delivered
or_31002411,delivered
or_31002412,delivered
or_31002413,returned
or_31002414,delivered
or_31002415,delivered
or_31002416,delivered
or_31002417,delivered
or_31002418,delivered
or_31002419,returned
or_31002420,delivered
or_31002421,delivered
or_31002422,delivered
or_31002423,returned
or_31002424,delivered
or_31002425,delivered
or_31002426,delivered
or_31002427,delivered
or_31002428,returned
or_31002429,delivered
or_31002430,delivered
or_31002431,returned
or_31002432,delivered
or_31002433,delivered
or_31002434,delivered
or_31002435,delivered
or_31002436,delivered
or_31002437,returned
or_31002438,returned
or_31002439,delivered
or_31002440,delivered
or_31002441,returned
or_31002442,returned
or_31002443,delivered
or_31002444,delivered
or_31002445,delivered
or_31002446,delivered
or_31002447,returned
or_31002448,delivered
or_31002449,delivered
or_31002450,delivered
or_31002451,delivered
or_31002452,returned
or_31002453,delivered
or_31002454,delivered
or_31002455,delivered
or_31002456,delivered
or_31002457,delivered
or_31002458,returned
or_31002458,returned
or_31002459,delivered
or_31002460,delivered
or_31002461,delivered
or_31002462,returned
or_31002463,delivered
or_31002464,delivered
or_31002465,returned
or_31002465,returned
or_31002466,delivered
or_31002467,delivered
or_31002468,delivered
or_31002469,delivered
or_31002470,delivered
or_31002471,returned
or_31002472,returned
or_31002473,delivered
or_31002474,delivered
or_31002475,delivered
or_31002476,delivered
or_31002477,delivered
or_31002478,delivered
or_31002479,delivered
or_31002480,delivered
or_31002481,delivered
or_31002482,delivered
or_31002483,delivered
or_31002484,delivered
or_31002485,delivered
or_31002486,delivered
or_31002487,delivered
or_31002488,delivered
or_31002489,returned
or_31002490,delivered
or_31002491,delivered
or_31002492,delivered
or_31002493,delivered
or_31002494,returned
or_31002495,delivered
or_31002496,delivered
or_31002497,delivered
or_31002498,delivered
or_31002499,delivered
or_31002500,delivered
or_31002501,delivered
or_31002502,delivered
or_31002503,delivered
or_31002504,returned
or_31002505,delivered
or_31002506,delivered
or_31002507,returned
or_31002508,delivered
or_31002509,delivered
or_31002510,delivered
or_31002511,delivered
or_31002512,delivered
or_31002513,delivered
or_31002514,delivered
or_31002515,delivered
or_31002516,returned
or_31002517,delivered
or_31002518,delivered
or_31002519,returned
or_31002520,delivered
or_31002521,delivered
or_31002522,delivered
or_31002523,delivered
or_31002524,delivered
or_31002525,delivered
or_31002526,delivered
or_31002527,delivered
or_31002528,delivered
or_31002529,delivered
or_31002530,delivered
or_31002531,delivered
or_31002532,delivered
or_31002533,returned
or_31002534,delivered
or_31002535,delivered
or_31002536,delivered
or_31002537,delivered
or_31002538,delivered
or_31002539,delivered
or_31002540,delivered
or_31002541,delivered
or_31002542,delivered
or_31002543,delivered
or_31002544,delivered
or_31002545,delivered
or_31002546,delivered
or_31002547,delivered
or_31002548,returned
or_31002549,delivered
or_31002550,delivered
or_31002551,delivered
or_31002552,returned
or_31002552,returned
or_31002553,delivered
or_31002554,delivered
or_31002555,delivered
or_31002556,delivered
or_31002557,delivered
or_31002558,delivered
or_31002559,delivered
or_31002560,delivered
or_31002561,delivered
or_31002562,delivered
or_31002563,returned
or_31002564,delivered
or_31002565,delivered
or_31002566,delivered
or_31002567,delivered
or_31002568,delivered
or_31002569,delivered
or_31002570,delivered
or_31002571,returned
or_31002572,returned
or_31002573,delivered
or_31002574,returned
or_31002575,delivered
or_31002576,delivered
or_31002577,returned
or_31002578,delivered
or_31002579,delivered
or_31002580,delivered
or_31002581,delivered
or_31002582,delivered
or_31002583,delivered
or_31002584,delivered
or_31002585,returned
or_31002586,delivered
or_31002587,delivered
or_31002588,delivered
or_31002589,delivered
or_31002590,delivered
or_31002591,delivered
or_31002592,delivered
or_31002593,delivered
or_31002594,delivered
or_31002595,delivered
or_31002596,delivered
or_31002597,delivered
or_31002598,delivered
or_31002599,returned
or_31002600,delivered
or_31002601,delivered
or_31002602,delivered
or_31002603,delivered
or_31002604,returned
or_31002605,returned
or_31002606,delivered
or_31002607,delivered
or_31002608,delivered
or_31002609,delivered
or_31002610,delivered
or_31002611,delivered
or_31002612,delivered
or_31002613,delivered
or_31002614,delivered
or_31002615,delivered
or_31002616,delivered
or_31002617,returned
or_31002618,returned
or_31002619,returned
or_31002620,delivered
or_31002621,delivered
or_31002622,returned
or_31002623,delivered
or_31002624,returned
or_31002625,returned
or_31002626,returned
or_31002627,delivered
or_31002628,delivered
or_31002629,delivered
or_31002630,returned
or_31002631,delivered
or_31002632,delivered
or_31002633,returned
or_31002634,delivered
or_31002635,delivered
or_31002636,delivered
or_31002637,delivered
or_31002638,delivered
or_31002639,delivered
or_31002640,delivered
or_31002641,delivered
or_31002642,delivered
or_31002643,delivered
or_31002644,returned
or_31002645,delivered
or_31002646,returned
or_31002647,delivered
or_31002648,delivered
or_31002649,delivered
or_31002650,returned
or_31002651,delivered
or_31002652,delivered
or_31002653,returned
or_31002654,delivered
or_31002655,returned
or_31002656,delivered
or_31002657,delivered
or_31002658,returned
or_31002658,returned
or_31002659,delivered
or_31002660,delivered
or_31002661,delivered
or_31002662,returned
or_31002663,delivered
or_31002664,delivered
or_31002665,delivered
or_31002666,delivered
or_31002667,delivered
or_31002668,delivered
or_31002669,delivered
or_31002670,returned
or_31002670,returned
or_31002671,delivered
or_31002672,delivered
or_31002673,delivered
or_31002674,returned
or_31002675,delivered
or_31002676,delivered
or_31002677,delivered
or_31002678,returned
or_31002678,returned
or_31002679,returned
or_31002680,delivered
or_31002681,delivered
or_31002682,delivered
or_31002683,delivered
or_31002684,returned
or_31002685,returned
or_31002686,returned
or_31002687,delivered
or_31002688,delivered
or_31002689,delivered
or_31002690,delivered
or_31002691,returned
or_31002692,returned
or_31002693,delivered
or_31002694,delivered
or_31002695,delivered
or_31002696,delivered
or_31002697,returned
or_31002698,delivered
or_31002699,delivered
or_31002700,returned
or_31002701,delivered
or_31002702,delivered
or_31002703,delivered
or_31002704,returned
or_31002705,delivered
or_31002706,delivered
or_31002707,returned
or_31002708,delivered
or_31002709,returned
or_31002710,delivered
or_31002711,delivered
or_31002712,delivered
or_31002713,delivered
or_31002714,returned
or_31002715,delivered
or_31002716,delivered
or_31002717,delivered
or_31002718,returned
or_31002719,delivered
or_31002720,delivered
or_31002721,delivered
or_31002722,delivered
or_31002723,delivered
or_31002724,delivered
or_31002725,delivered
or_31002726,delivered
or_31002727,returned
or_31002727,returned
or_31002728,delivered
or_31002729,delivered
or_31002730,delivered
or_31002731,delivered
or_31002732,delivered
or_31002733,delivered
or_31002734,delivered
or_31002735,delivered
or_31002736,delivered
or_31002737,delivered
or_31002738,delivered
or_31002739,delivered
or_31002740,returned
or_31002741,delivered
or_31002742,delivered
or_31002743,delivered
or_31002744,delivered
or_31002745,returned
or_31002746,delivered
or_31002747,delivered
or_31002748,delivered
or_31002749,delivered
or_31002750,returned
or_31002751,delivered
or_31002752,delivered
or_31002753,delivered
or_31002754,delivered
or_31002755,delivered
or_31002756,delivered
or_31002757,delivered
or_31002758,delivered
or_31002759,delivered
or_31002760,delivered
or_31002761,delivered
or_31002762,delivered
or_31002763,delivered
or_31002764,delivered
or_31002765,delivered
or_31002766,delivered
or_31002767,delivered
or_31002768,delivered
or_31002769,delivered
or_31002770,delivered
or_31002771,delivered
or_31002772,delivered
or_31002773,delivered
or_31002774,delivered
or_31002775,delivered
or_31002776,delivered
or_31002777,delivered
or_31002778,delivered
or_31002779,delivered
or_31002780,delivered
or_31002781,delivered
or_31002782,returned
or_31002783,delivered
or_31002784,returned
or_31002785,delivered
or_31002786,delivered
or_31002787,delivered
or_31002788,returned
or_31002789,delivered
or_31002790,delivered
or_31002791,delivered
or_31002792,returned
or_31002793,delivered
or_31002794,delivered
or_31002795,delivered
or_31002796,delivered
or_31002797,delivered
or_31002798,delivered
or_31002799,delivered
or_31002800,delivered
or_31002801,delivered
or_31002802,delivered
or_31002803,returned
or_31002803,returned
or_31002804,delivered
or_31002805,returned
or_31002805,returned
or_31002805,returned
or_31002806,delivered
or_31002807,returned
or_31002808,delivered
or_31002809,delivered
or_31002810,delivered
or_31002811,delivered
or_31002812,delivered
or_31002813,delivered
or_31002814,returned
or_31002815,delivered
or_31002816,delivered
or_31002817,delivered
or_31002818,delivered
or_31002819,delivered
or_31002820,delivered
or_31002821,delivered
or_31002822,returned
or_31002823,delivered
or_31002824,delivered
or_31002825,delivered
or_31002826,delivered
or_31002827,delivered
or_31002828,returned
or_31002829,delivered
or_31002830,delivered
or_31002831,delivered
or_31002832,delivered
or_31002833,delivered
or_31002834,delivered
or_31002835,returned
or_31002836,delivered
or_31002837,delivered
or_31002838,delivered
or_31002839,delivered
or_31002840,returned
or_31002841,delivered
or_31002842,delivered
or_31002843,delivered
or_31002844,returned
or_31002845,returned
or_31002846,returned
or_31002847,delivered
or_31002848,delivered
or_31002849,delivered
or_31002850,delivered
or_31002851,delivered
or_31002852,delivered
or_31002853,delivered
or_31002854,delivered
or_31002855,returned
or_31002855,returned
or_31002856,delivered
or_31002857,delivered
or_31002858,delivered
or_31002859,delivered
or_31002860,delivered
or_31002861,delivered
or_31002862,returned
or_31002863,delivered
or_31002864,returned
or_31002865,delivered
or_31002866,delivered
or_31002867,delivered
or_31002868,delivered
or_31002869,delivered
or_31002870,delivered
or_31002871,delivered
or_31002872,returned
or_31002873,delivered
or_31002874,delivered
or_31002875,delivered
or_31002876,delivered
or_31002877,delivered
or_31002878,delivered
or_31002879,delivered
or_31002880,delivered
or_31002881,delivered
or_31002882,delivered
or_31002883,delivered
or_31002884,delivered
or_31002885,delivered
or_31002886,delivered
or_31002887,returned
or_31002888,delivered
or_31002889,delivered
or_31002890,delivered
or_31002891,returned
or_31002892,delivered
or_31002893,delivered
or_31002894,delivered
or_31002895,delivered
or_31002896,delivered
or_31002897,returned
or_31002898,returned
or_31002899,delivered
or_31002900,delivered
or_31002901,delivered
or_31002902,delivered
or_31002903,delivered
or_31002904,delivered
or_31002905,delivered
or_31002906,delivered
or_31002907,delivered
or_31002908,delivered
or_31002909,delivered
or_31002910,delivered
or_31002911,delivered
or_31002912,returned
or_31002913,delivered
or_31002914,returned
or_31002915,returned
or_31002916,returned
or_31002917,delivered
or_31002918,delivered
or_31002919,delivered
or_31002920,returned
or_31002921,delivered
or_31002922,delivered
or_31002923,delivered
or_31002924,delivered
or_31002925,delivered
or_31002926,returned
or_31002927,returned
or_31002928,delivered
or_31002929,delivered
or_31002930,returned
or_31002931,delivered
or_31002932,returned
or_31002933,returned
or_31002934,delivered
or_31002935,delivered
or_31002936,returned
or_31002937,delivered
or_31002938,delivered
or_31002939,delivered
or_31002940,delivered
or_31002941,delivered
or_31002942,returned
or_31002943,delivered
or_31002944,returned
or_31002945,delivered
or_31002946,returned
or_31002947,delivered
or_31002948,delivered
or_31002949,delivered
or_31002950,delivered
or_31002951,returned
or_31002952,delivered
or_31002953,delivered
or_31002954,delivered
or_31002955,returned
or_31002955,returned
or_31002956,delivered
or_31002957,returned
or_31002958,delivered
or_31002959,returned
or_31002960,delivered
or_31002961,delivered
or_31002962,delivered
or_31002963,delivered
or_31002964,delivered
or_31002965,delivered
or_31002966,delivered
or_31002967,delivered
or_31002968,delivered
or_31002969,delivered
or_31002970,delivered
or_31002971,delivered
or_31002972,delivered
or_31002973,delivered
or_31002974,delivered
or_31002975,delivered
or_31002976,delivered
or_31002977,delivered
or_31002978,delivered
or_31002979,delivered
or_31002980,delivered
or_31002981,returned
or_31002982,delivered
or_31002983,delivered
or_31002984,delivered
or_31002985,delivered
or_31002986,delivered
or_31002987,delivered
or_31002988,delivered
or_31002989,delivered
or_31002990,delivered
or_31002991,delivered
or_31002992,delivered
or_31002993,returned
or_31002994,delivered
or_31002995,delivered
or_31002996,delivered
or_31002997,delivered
or_31002998,returned
or_31002999,returned
or_31002999,returned
or_31003000,delivered
or_31003001,returned
or_31003002,delivered
or_31003003,delivered
or_31003004,delivered
or_31003005,delivered
or_31003006,delivered
or_31003007,delivered
or_31003008,delivered
or_31003009,delivered
or_31003010,delivered
or_31003011,delivered
or_31003012,delivered
or_31003013,delivered
or_31003014,delivered
or_31003015,delivered
or_31003016,delivered
or_31003017,returned
or_31003018,delivered
or_31003019,delivered
or_31003020,delivered
or_31003021,delivered
or_31003022,delivered
or_31003023,delivered
or_31003024,delivered
or_31003025,delivered
or_31003026,delivered
or_31003027,delivered
or_31003028,returned
or_31003028,returned
or_31003029,delivered
or_31003030,delivered
or_31003031,returned
or_31003032,delivered
or_31003033,returned
or_31003034,delivered
or_31003035,returned
or_31003036,delivered
or_31003037,delivered
or_31003038,delivered
or_31003039,delivered
or_31003040,delivered
or_31003041,delivered
or_31003042,delivered
or_31003043,delivered
or_31003044,delivered
or_31003045,returned
or_31003046,delivered
or_31003047,delivered
or_31003048,delivered
or_31003049,returned
or_31003049,returned
or_31003050,delivered
or_31003051,delivered
or_31003052,delivered
or_31003053,delivered
or_31003054,returned
or_31003055,delivered
or_31003056,delivered
or_31003057,delivered
or_31003058,delivered
or_31003059,delivered
or_31003060,returned
or_31003061,returned
or_31003062,delivered
or_31003063,returned
or_31003064,delivered
or_31003065,delivered
or_31003066,delivered
or_31003067,returned
or_31003068,returned
or_31003069,delivered
or_31003070,returned
or_31003071,delivered
or_31003072,delivered
or_31003073,delivered
or_31003074,delivered
or_31003075,delivered
or_31003076,delivered
or_31003077,delivered
or_31003078,delivered
or_31003079,delivered
or_31003080,delivered
or_31003081,returned
or_31003082,returned
or_31003082,returned
or_31003083,delivered
or_31003084,delivered
or_31003085,delivered
or_31003086,delivered
or_31003087,returned
or_31003088,returned
or_31003089,delivered
or_31003090,delivered
or_31003091,delivered
or_31003092,delivered
or_31003093,delivered
or_31003094,delivered
or_31003095,delivered
or_31003096,delivered
or_31003097,delivered
or_31003098,returned
or_31003099,delivered
or_31003100,delivered
or_31003101,delivered
or_31003102,delivered
or_31003103,delivered
or_31003104,delivered
or_31003105,delivered
or_31003106,returned
or_31003107,delivered
or_31003108,delivered
or_31003109,returned
or_31003110,delivered
or_31003111,delivered
or_31003112,delivered
or_31003113,delivered
or_31003114,delivered
or_31003115,returned
or_31003116,returned
or_31003117,returned
or_31003118,delivered
or_31003119,delivered
or_31003120,delivered
or_31003121,delivered
or_31003122,delivered
or_31003123,delivered
or_31003124,returned
or_31003125,delivered
or_31003126,delivered
or_31003127,delivered
or_31003128,delivered
or_31003129,delivered
or_31003130,delivered
or_31003131,delivered
or_31003132,delivered
or_31003133,delivered
or_31003134,returned
or_31003135,delivered
or_31003136,delivered
or_31003137,delivered
or_31003138,delivered
or_31003139,returned
or_31003140,returned
or_31003141,delivered
or_31003142,returned
or_31003143,delivered
or_31003144,delivered
or_31003145,delivered
or_31003146,delivered
or_31003147,delivered
or_31003148,delivered
or_31003149,delivered
or_31003150,delivered
or_31003151,delivered
or_31003152,delivered
or_31003153,returned
or_31003154,delivered
or_31003155,delivered
or_31003156,delivered
or_31003157,delivered
or_31003158,delivered
or_31003159,delivered
or_31003160,delivered
or_31003161,returned
or_31003162,delivered
or_31003163,delivered
or_31003164,delivered
or_31003165,delivered
or_31003166,delivered
or_31003167,delivered
or_31003168,delivered
or_31003169,delivered
or_31003170,delivered
or_31003171,delivered
or_31003172,returned
or_31003173,delivered
or_31003174,returned
or_31003175,delivered
or_31003176,delivered
or_31003177,delivered
or_31003178,delivered
or_31003179,delivered
or_31003180,returned
or_31003181,delivered
or_31003182,delivered
or_31003183,delivered
or_31003184,delivered
or_31003185,delivered
or_31003186,delivered
or_31003187,delivered
or_31003188,delivered
or_31003189,returned
or_31003190,returned
or_31003191,delivered
or_31003192,returned
or_31003193,delivered
or_31003194,returned
or_31003195,delivered
or_31003196,delivered
or_31003197,delivered
or_31003198,delivered
or_31003199,returned
or_31003199,returned
or_31003200,delivered
or_31003201,delivered
or_31003202,delivered
or_31003203,delivered
or_31003204,delivered
or_31003205,returned
or_31003206,delivered
or_31003207,delivered
or_31003208,delivered
or_31003209,delivered
or_31003210,delivered
or_31003211,delivered
or_31003212,delivered
or_31003213,delivered
or_31003214,delivered
or_31003215,delivered
or_31003216,returned
or_31003217,returned
or_31003218,delivered
or_31003219,returned
or_31003220,delivered
or_31003221,delivered
or_31003222,delivered
or_31003223,returned
or_31003224,delivered
or_31003225,returned
or_31003226,delivered
or_31003227,delivered
or_31003228,delivered
or_31003229,delivered
or_31003230,delivered
or_31003231,delivered
or_31003232,returned
or_31003233,delivered
or_31003234,delivered
or_31003235,returned
or_31003236,delivered
or_31003237,returned
or_31003238,delivered
or_31003239,delivered
or_31003240,delivered
or_31003241,delivered
or_31003242,delivered
or_31003243,delivered
or_31003244,delivered
or_31003245,delivered
or_31003246,delivered
or_31003247,delivered
or_31003248,delivered
or_31003249,delivered
or_31003250,delivered
or_31003251,delivered
or_31003252,delivered
or_31003253,delivered
or_31003254,delivered
or_31003255,returned
or_31003256,delivered
or_31003257,delivered
or_31003258,delivered
or_31003259,returned
or_31003260,delivered
or_31003261,delivered
or_31003262,returned
or_31003263,delivered
or_31003264,delivered
or_31003265,delivered
or_31003266,delivered
or_31003267,delivered
or_31003268,returned
or_31003269,delivered
or_31003270,delivered
or_31003271,delivered
or_31003272,delivered
or_31003273,delivered
or_31003274,delivered
or_31003275,delivered
or_31003276,returned
or_31003277,returned
or_31003278,delivered
or_31003279,returned
or_31003280,delivered
or_31003281,delivered
or_31003282,delivered
or_31003283,delivered
or_31003284,delivered
or_31003285,delivered
or_31003286,returned
or_31003286,returned
or_31003287,delivered
or_31003288,delivered
or_31003289,delivered
or_31003290,delivered
or_31003291,delivered
or_31003292,delivered
or_31003293,delivered
or_31003294,delivered
or_31003295,returned
or_31003296,delivered
or_31003297,delivered
or_31003298,returned
or_31003299,delivered
or_31003300,returned
or_31003301,returned
or_31003302,delivered
or_31003303,returned
or_31003304,delivered
or_31003305,delivered
or_31003306,delivered
or_31003307,delivered
or_31003308,delivered
or_31003309,delivered
or_31003310,delivered
or_31003311,delivered
or_31003312,delivered
or_31003313,delivered
or_31003314,delivered
or_31003315,delivered
or_31003316,delivered
or_31003317,delivered
or_31003318,returned
or_31003319,returned
or_31003320,delivered
or_31003321,delivered
or_31003322,delivered
or_31003323,delivered
or_31003324,returned
or_31003325,delivered
or_31003326,returned
or_31003327,delivered
or_31003328,delivered
or_31003329,returned
or_31003330,returned
or_31003331,returned
or_31003332,delivered
or_31003333,delivered
or_31003334,returned
or_31003335,delivered
or_31003336,delivered
or_31003337,returned
or_31003338,delivered
or_31003339,delivered
or_31003340,returned
or_31003341,returned
or_31003342,delivered
or_31003343,delivered
or_31003344,delivered
or_31003345,delivered
or_31003346,delivered
or_31003347,returned
or_31003348,delivered
or_31003349,delivered
or_31003350,delivered
or_31003351,delivered
or_31003352,returned
or_31003353,delivered
or_31003354,returned
or_31003355,delivered
or_31003356,delivered
or_31003357,delivered
or_31003358,returned
or_31003359,delivered
or_31003360,delivered
or_31003361,delivered
or_31003362,delivered
or_31003363,delivered
or_31003364,delivered
or_31003365,delivered
or_31003366,delivered
or_31003367,delivered
or_31003368,delivered
or_31003369,delivered
or_31003370,delivered
or_31003371,delivered
or_31003372,delivered
or_31003373,delivered
or_31003374,delivered
or_31003375,delivered
or_31003376,delivered
or_31003377,delivered
or_31003378,returned
or_31003379,delivered
or_31003380,delivered
or_31003381,delivered
or_31003382,delivered
or_31003383,delivered
or_31003384,delivered
or_31003385,delivered
or_31003386,returned
or_31003387,delivered
or_31003388,delivered
or_31003389,delivered
or_31003390,delivered
or_31003391,returned
or_31003392,delivered
or_31003393,delivered
or_31003394,delivered
or_31003395,delivered
or_31003396,delivered
or_31003397,delivered
or_31003398,returned
or_31003399,delivered
or_31003400,delivered
or_31003401,delivered
or_31003402,delivered
or_31003403,returned
or_31003404,delivered
or_31003405,returned
or_31003406,delivered
or_31003407,returned
or_31003408,delivered
or_31003409,delivered
or_31003410,delivered
or_31003411,delivered
or_31003412,delivered
or_31003413,delivered
or_31003414,delivered
or_31003415,delivered
or_31003416,delivered
or_31003417,returned
or_31003418,delivered
or_31003419,delivered
or_31003420,delivered
or_31003421,returned
or_31003422,delivered
or_31003423,returned
or_31003424,delivered
or_31003425,delivered
or_31003426,delivered
or_31003427,returned
or_31003428,delivered
or_31003429,delivered
or_31003430,returned
or_31003431,delivered
or_31003432,returned
or_31003433,delivered
or_31003434,delivered
or_31003435,delivered
or_31003436,delivered
or_31003437,returned
or_31003438,delivered
or_31003439,delivered
or_31003440,delivered
or_31003441,delivered
or_31003442,delivered
or_31003443,delivered
or_31003444,delivered
or_31003445,delivered
or_31003446,delivered
or_31003447,delivered
or_31003448,delivered
or_31003449,delivered
or_31003450,delivered
or_31003451,delivered
or_31003452,delivered
or_31003453,delivered
or_31003454,delivered
or_31003455,delivered
or_31003456,delivered
or_31003457,delivered
